ListingKey,ListingCreationDate,Term,LoanStatus,ClosedDate,BorrowerAPR,EstimatedReturn,BorrowerRate,ProsperRatingAlpha,ProsperScore,ListingCategory,BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,DateCreditPulled,CreditScoreRangeLower,CreditScoreRangeUpper,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,InquiriesLast6Months,CurrentDelinquencies,DelinquenciesLast7Years,BankcardUtilization,IncomeRange,StatedMonthlyIncome,TotalProsperLoans,LoanOriginalAmount,Recommendations,QuarterCreditPulled,LoanRange,Top5ListingCategory
0F353575943675863D1AFC0,2013-04-19,60,Current,,0.11695,0.0603,0.0949,A,8,Debt Consolidation,VA,Computer Programmer,Employed,35,False,2013-04-19,740,759,25,22,48,0,0,0,0.43,"$100,000+",10833.333333,0,19330,0,Q2,"(15000.0, 35000.0]",Debt Consolidation
0F563597161095613517437,2013-12-17,36,Current,,0.15223,0.0691,0.1239,A,6,Debt Consolidation,LA,Other,Employed,16,True,2013-12-17,740,759,24,21,50,2,0,0,0.34,"$100,000+",10416.666667,0,35000,0,Q4,"(15000.0, 35000.0]",Debt Consolidation
0F6B3496936961316AEE1B2,2010-10-10,36,Completed,2012-12-21,0.08191,0.0555,0.0785,AA,10,Other,IL,Other,Employed,7,False,2010-10-10,760,779,6,3,17,0,0,0,0.01,"$100,000+",13083.333333,1,16000,0,Q4,"(15000.0, 35000.0]",Other
10A43601079743929992413,2014-01-27,60,Current,,0.1963,0.07923,0.1725,C,4,Debt Consolidation,WA,Other,Self-employed,276,False,2014-01-25,680,699,10,9,28,0,0,0,0.46,"$100,000+",12750.0,0,15000,0,Q1,"(10000.0, 15000.0]",Debt Consolidation
0F843574249889932A8662E,2013-04-01,60,Current,,0.13227,0.0666,0.1099,A,7,Debt Consolidation,NV,Executive,Employed,28,True,2013-04-01,740,759,13,13,53,1,1,4,0.63,"$100,000+",16000.0,0,25000,0,Q2,"(15000.0, 35000.0]",Debt Consolidation
0F923587782964897A58B1B,2013-08-20,60,Current,,0.17522,0.0876,0.1519,B,6,Debt Consolidation,NJ,Attorney,Employed,10,True,2013-08-20,720,739,19,17,41,0,0,0,0.97,"$100,000+",14583.333333,0,15000,0,Q3,"(10000.0, 15000.0]",Debt Consolidation
0FBC3556025226720BE6DD4,2012-08-26,60,Current,,0.20931,0.1272,0.1852,B,5,Home Improvement,WI,Executive,Employed,61,True,2012-08-26,720,739,14,9,42,5,0,2,0.45,"$100,000+",10000.0,1,18000,0,Q3,"(15000.0, 35000.0]",Home Improvement
105B35621274435224BDC69,2012-11-15,60,Current,,0.12216,0.0762,0.1,AA,10,Debt Consolidation,DC,Professional,Employed,51,False,2012-11-15,780,799,8,7,14,0,0,0,0.59,"$100,000+",10000.0,0,25000,0,Q4,"(15000.0, 35000.0]",Debt Consolidation
0FFC3601335963354A35791,2014-01-26,36,Current,,0.12691,0.05879,0.099,A,8,Debt Consolidation,TX,Analyst,Employed,48,True,2014-01-26,680,699,10,9,18,0,0,1,0.61,"$100,000+",14833.333333,0,20000,0,Q1,"(15000.0, 35000.0]",Debt Consolidation
0F823461624751165710F76,2009-08-25,36,Completed,2012-09-15,0.15529,0.1024,0.1338,A,9,Debt Consolidation,MD,Professional,Full-time,94,True,2009-08-25,720,739,9,7,31,0,0,1,0.56,"$100,000+",15000.0,1,10000,0,Q3,"(5000.0, 10000.0]",Debt Consolidation
